# BEAST v1.8.4
# Generated Sun Jan 13 09:41:33 OMST 2019 [seed=1547350892005]
# nac1_sfragm_default.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
91000	-239.26464548470346	0.8861020784538782	-240.15074756315735	0.18488039905789894	0.20486921377559503	2.2986533744288895	0.18647342934600528	0.37274816758108154	0.15751437537493726	0.28326402769797543	1.0	1.0	-240.15074756315735	0.0	1.2841210748771417
92000	-244.54245841531238	-1.0127954747562893	-243.52966294055608	0.2989102427000605	0.2971955733879403	4.33253824936693	0.12402363613426574	0.38681441910167064	0.19491062090059288	0.29425132386347025	1.0	1.0	-243.52966294055608	0.0	0.45161104874363045
93000	-246.10108326963513	-4.065711829410342	-242.0353714402248	0.22765847573311412	1.2429640344348192	1.9157659121063058	0.12402363613426574	0.38681441910167064	0.19491062090059288	0.29425132386347025	1.0	1.0	-242.0353714402248	0.0	-2.0168396853517576
94000	-241.6586171958123	-1.307066329401222	-240.3515508664111	0.28233119721349204	0.41435697693328266	2.9127220603251094	0.15720419398881097	0.36727457511748596	0.16173006304604767	0.31379116784765493	1.0	1.0	-240.3515508664111	0.0	0.024603812628753774
95000	-243.42864733866247	-1.3074077668015138	-242.12123957186097	0.21509107794271515	0.4472282841975862	3.4786958660428615	0.15720419398881097	0.36727457511748596	0.16173006304604767	0.31379116784765493	1.0	1.0	-242.12123957186097	0.0	0.2961144490828702
96000	-250.52997351819272	-9.066017402991449	-241.46395611520128	0.1887480500933324	3.6676622033620307	3.0076419269486583	0.15720419398881097	0.3548632088414058	0.18302308614976134	0.3049095110200214	1.0	1.0	-241.46395611520128	0.0	-5.519950067574506
97000	-242.65784088735847	-1.6315668953801514	-241.02627399197831	0.1973516819974116	0.7262586858845655	2.4291480003745343	0.1799815030370109	0.3320858997932059	0.18302308614976134	0.3049095110200214	1.0	1.0	-241.02627399197831	0.0	0.08225383576066866
98000	-244.30141186382508	-1.3323982916256227	-242.96901357219946	0.25733045235079727	0.5895133405932725	2.6083177861604834	0.19559819144814303	0.3320858997932059	0.21750702864464014	0.2548088801140105	1.0	1.0	-242.96901357219946	0.0	0.24047702692162687
99000	-244.25417302210846	2.9650492419245214	-247.219222264033	0.1660264853404138	0.11761320489437019	1.2068609615348935	0.2023334882565171	0.23691189824510112	0.2469015323694881	0.3138530811288932	1.0	1.0	-247.219222264033	0.0	2.3657783667678576
100000	-240.40797031859958	0.10110909787457667	-240.50907941647415	0.25809727097543317	0.21154777414401876	3.1019258867041817	0.22882730037102644	0.28323455740328746	0.13227532593732513	0.35566281628836044	1.0	1.0	-240.50907941647415	0.0	0.827487569009593
101000	-241.40503835760268	-0.2241072622624788	-241.18093109534018	0.24250856168587792	0.2985718887790575	3.1019258867041817	0.2124326659111906	0.3232391162614842	0.10866540153896423	0.35566281628836044	1.0	1.0	-241.18093109534018	0.0	0.8468310906838002
102000	-239.92938517116366	-1.6491949443006078	-238.28019022686306	0.1689548558093794	0.6718229749543151	3.0504052839061977	0.21277749969160886	0.2926037751859931	0.18378264830262558	0.310836076819772	1.0	1.0	-238.28019022686306	0.0	0.21465342317973107
103000	-241.05403663095197	-1.0210029236409386	-240.03303370731103	0.24279228663518548	0.24417588299054424	4.755412004691195	0.1803996420035328	0.3580542717958767	0.18378264830262558	0.2777634378979644	1.0	1.0	-240.03303370731103	0.0	0.3705913313121936
104000	-248.11382182931345	-1.3537324887838063	-246.76008934052965	0.1590139335031983	0.05502959769896679	2.5813214047039987	0.12266632524193644	0.39493969618920177	0.18378264830262558	0.2986113302662357	1.0	1.0	-246.76008934052965	0.0	-2.162377785446993
105000	-241.08729509706978	1.9004504309335302	-242.9877455280033	0.17311175065994538	0.18159510970592982	2.9152255013209962	0.17443877939548397	0.35192362137365996	0.12346312983043582	0.35017446940041974	1.0	1.0	-242.9877455280033	0.0	2.4080695834636328
106000	-244.1236160339188	-1.6710043498396976	-242.4526116840791	0.23474904211167788	0.6450633616820552	3.1491895746423904	0.17443877939548397	0.27196299115674594	0.12346312983043582	0.43013509961733376	1.0	1.0	-242.4526116840791	0.0	0.18674468636455227
